100 3
0 1 0 
0 0 1
0 1 2
0 2 3
1 0 1 
1 0 0
1 1 4
1 2 4
2 0 1 
2 0 4
2 1 0
2 2 4
3 0 0 
3 0 5
3 1 7
3 2 6
4 0 0 
4 0 4
4 1 4
4 2 4
5 0 0 
5 0 11
5 1 13
5 2 14
6 1 1 
6 0 4
6 1 4
6 2 3
7 0 0 
7 0 8
7 1 10
7 2 15
8 0 1 
8 0 4
8 1 4
8 2 9
9 0 0 
9 0 43
9 1 44
9 2 48
10 0 0 
10 0 24
10 1 28
10 2 32
11 0 1 
11 0 4
11 1 4
11 2 12
12 1 1 
12 0 1
12 1 4
12 2 4
13 0 0 
13 0 16
13 1 20
13 2 23
14 0 0 
14 0 18
14 1 22
14 2 46
15 0 0 
15 0 26
15 1 29
15 2 30
16 0 1 
16 0 4
16 1 4
16 2 17
17 0 1 
17 0 9
17 1 4
17 2 4
18 0 1 
18 0 4
18 1 4
18 2 19
19 0 1 
19 0 5
19 1 4
19 2 4
20 0 1 
20 0 4
20 1 4
20 2 21
21 0 0 
21 0 73
21 1 45
21 2 76
22 0 0 
22 0 39
22 1 40
22 2 41
23 0 0 
23 0 33
23 1 35
23 2 34
24 0 1 
24 0 4
24 1 4
24 2 25
25 0 1 
25 0 4
25 1 9
25 2 4
26 0 1 
26 0 4
26 1 4
26 2 27
27 0 1 
27 0 4
27 1 5
27 2 4
28 0 0 
28 0 49
28 1 51
28 2 52
29 0 0 
29 0 55
29 1 58
29 2 59
30 0 1 
30 0 4
30 1 4
30 2 31
31 0 0 
31 0 4
31 1 74
31 2 38
32 1 1 
32 0 4
32 1 4
32 2 54
33 0 0 
33 0 78
33 1 79
33 2 82
34 0 0 
34 0 4
34 1 46
34 2 77
35 0 1 
35 0 4
35 1 4
35 2 36
36 0 0 
36 0 4
36 1 37
36 2 4
37 0 1 
37 0 38
37 1 4
37 2 4
38 0 0 
38 0 4
38 1 4
38 2 31
39 0 0 
39 0 87
39 1 86
39 2 90
40 0 0 
40 0 4
40 1 85
40 2 46
41 0 1 
41 0 4
41 1 4
41 2 42
42 0 1 
42 0 15
42 1 4
42 2 4
43 0 1 
43 0 4
43 1 12
43 2 4
44 0 1 
44 0 4
44 1 62
44 2 4
45 0 0 
45 0 4
45 1 21
45 2 4
46 0 1 
46 0 4
46 1 4
46 2 47
47 0 0 
47 0 74
47 1 4
47 2 66
48 0 0 
48 0 60
48 1 63
48 2 61
49 0 1 
49 0 4
49 1 4
49 2 50
50 0 1 
50 0 4
50 1 25
50 2 4
51 0 0 
51 0 4
51 1 72
51 2 74
52 0 1 
52 0 4
52 1 4
52 2 53
53 0 1 
53 0 4
53 1 54
53 2 4
54 0 1 
54 0 4
54 1 75
54 2 4
55 0 1 
55 0 4
55 1 4
55 2 56
56 0 0 
56 0 57
56 1 4
56 2 4
57 0 0 
57 0 56
57 1 38
57 2 4
58 0 0 
58 0 4
58 1 96
58 2 99
59 0 0 
59 0 93
59 1 98
59 2 96
60 0 0 
60 0 67
60 1 68
60 2 71
61 0 0 
61 0 70
61 1 4
61 2 65
62 0 1 
62 0 2
62 1 4
62 2 4
63 0 1 
63 0 4
63 1 64
63 2 4
64 0 1 
64 0 7
64 1 4
64 2 4
65 0 1 
65 0 4
65 1 66
65 2 4
66 0 0 
66 0 4
66 1 4
66 2 47
67 0 0 
67 0 60
67 1 4
67 2 61
68 0 1 
68 0 4
68 1 69
68 2 4
69 0 1 
69 0 13
69 1 4
69 2 4
70 0 1 
70 0 4
70 1 74
70 2 4
71 0 0 
71 0 4
71 1 4
71 2 60
72 0 0 
72 0 4
72 1 51
72 2 4
73 1 1 
73 0 25
73 1 4
73 2 4
74 1 1 
74 0 4
74 1 4
74 2 4
75 0 0 
75 0 27
75 1 57
75 2 31
76 0 1 
76 0 54
76 1 4
76 2 4
77 0 0 
77 0 4
77 1 4
77 2 34
78 0 0 
78 0 33
78 1 4
78 2 34
79 0 1 
79 0 4
79 1 4
79 2 80
80 0 0 
80 0 4
80 1 81
80 2 4
81 0 0 
81 0 37
81 1 80
81 2 4
82 0 1 
82 0 4
82 1 4
82 2 83
83 0 1 
83 0 84
83 1 4
83 2 4
84 0 1 
84 0 4
84 1 14
84 2 4
85 0 0 
85 0 4
85 1 40
85 2 4
86 0 0 
86 0 4
86 1 39
86 2 4
87 0 1 
87 0 4
87 1 4
87 2 88
88 0 0 
88 0 89
88 1 66
88 2 4
89 0 1 
89 0 8
89 1 4
89 2 4
90 0 1 
90 0 4
90 1 4
90 2 91
91 0 1 
91 0 92
91 1 4
91 2 4
92 0 0 
92 0 4
92 1 4
92 2 8
93 0 1 
93 0 4
93 1 4
93 2 94
94 0 0 
94 0 95
94 1 4
94 2 4
95 0 0 
95 0 94
95 1 4
95 2 97
96 0 1 
96 0 4
96 1 4
96 2 97
97 0 0 
97 0 4
97 1 38
97 2 4
98 0 0 
98 0 4
98 1 59
98 2 4
99 0 1 
99 0 4
99 1 4
99 2 70
