39 2
0 1 1 
0 0 1
0 1 2
1 0 1 
1 0 4
1 1 3
2 0 0 
2 0 2
2 1 2
3 0 0 
3 0 2
3 1 6
4 0 1 
4 0 7
4 1 5
5 0 0 
5 0 2
5 1 9
6 1 1 
6 0 2
6 1 2
7 0 0 
7 0 2
7 1 8
8 0 1 
8 0 10
8 1 11
9 0 1 
9 0 2
9 1 3
10 0 1 
10 0 12
10 1 14
11 0 0 
11 0 2
11 1 5
12 0 1 
12 0 16
12 1 13
13 0 0 
13 0 2
13 1 18
14 0 1 
14 0 2
14 1 15
15 0 1 
15 0 2
15 1 11
16 0 1 
16 0 19
16 1 17
17 0 1 
17 0 2
17 1 21
18 0 1 
18 0 2
18 1 14
19 0 1 
19 0 22
19 1 20
20 0 0 
20 0 2
20 1 24
21 0 1 
21 0 2
21 1 13
22 0 1 
22 0 25
22 1 23
23 0 0 
23 0 2
23 1 27
24 0 0 
24 0 2
24 1 17
25 0 1 
25 0 28
25 1 26
26 0 1 
26 0 2
26 1 30
27 0 0 
27 0 2
27 1 20
28 0 1 
28 0 31
28 1 29
29 0 1 
29 0 2
29 1 33
30 0 0 
30 0 2
30 1 23
31 0 1 
31 0 34
31 1 32
32 0 0 
32 0 2
32 1 36
33 0 0 
33 0 2
33 1 26
34 0 0 
34 0 2
34 1 35
35 0 1 
35 0 37
35 1 38
36 0 1 
36 0 2
36 1 29
37 0 0 
37 0 2
37 1 34
38 0 1 
38 0 2
38 1 32
